0.00,222.45,10.20,0.00,75.51,0.00,0.00,0.00,75.51,0.00,32.65,16.33
236.73,0.00,0.00,212.24,0.00,277.55,0.00,0.00,212.24,65.31,0.00,32.65
40.82,16.33,0.00,222.45,0.00,0.00,65.31,0.00,0.00,0.00,65.31,0.00
8.16,244.90,228.57,0.00,0.00,0.00,0.00,277.55,0.00,212.24,0.00,65.31
73.47,0.00,32.65,16.33,0.00,222.45,10.20,0.00,65.31,0.00,0.00,0.00
0.00,277.55,0.00,32.65,530.61,0.00,0.00,212.24,0.00,65.31,212.24,0.00
0.00,0.00,65.31,0.00,334.69,16.33,0.00,222.45,0.00,0.00,65.31,0.00
0.00,0.00,0.00,277.55,302.04,244.90,228.57,0.00,0.00,0.00,0.00,277.55
73.47,212.24,0.00,0.00,65.31,0.00,32.65,16.33,0.00,222.45,222.45,0.00
0.00,65.31,0.00,212.24,0.00,65.31,0.00,32.65,530.61,0.00,0.00,212.24
0.00,0.00,65.31,0.00,0.00,212.24,65.31,0.00,546.94,16.33,0.00,222.45
0.00,0.00,0.00,65.31,0.00,0.00,0.00,277.55,302.04,244.90,228.57,0.00
