0.00,419.23,19.23,0.00,19.23,0.00,0.00,215.38,19.23,0.00,0.00,0.00,0.00,0.00,0.00,246.15,19.23,0.00,0.00,123.08,0.00,61.54,30.77
446.15,0.00,0.00,400.00,0.00,400.00,0.00,0.00,215.38,400.00,0.00,0.00,0.00,0.00,0.00,400.00,246.15,0.00,0.00,0.00,123.08,0.00,61.54
76.92,30.77,0.00,419.23,0.00,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.15,0.00,0.00,0.00,123.08,0.00
15.38,461.54,430.77,0.00,0.00,0.00,0.00,400.00,0.00,0.00,215.38,400.00,0.00,0.00,0.00,0.00,400.00,0.00,246.15,0.00,0.00,0.00,123.08
138.46,0.00,61.54,30.77,0.00,419.23,19.23,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.15,0.00,0.00,0.00
0.00,523.08,0.00,61.54,1000.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,215.38,400.00,0.00,0.00,0.00,400.00,0.00,0.00,246.15,0.00,0.00
0.00,0.00,123.08,0.00,630.77,30.77,0.00,419.23,0.00,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.15,0.00
0.00,0.00,0.00,523.08,569.23,461.54,430.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,615.38,0.00,0.00,0.00,400.00,0.00,0.00,0.00,246.15
261.54,0.00,0.00,0.00,123.08,0.00,61.54,30.77,0.00,419.23,19.23,0.00,19.23,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,646.15,0.00,0.00,0.00,123.08,0.00,61.54,1000.00,0.00,0.00,400.00,0.00,400.00,0.00,0.00,215.38,0.00,0.00,400.00,0.00,0.00,0.00
0.00,0.00,246.15,0.00,0.00,0.00,123.08,0.00,630.77,30.77,0.00,419.23,0.00,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,646.15,0.00,0.00,0.00,123.08,569.23,461.54,430.77,0.00,0.00,0.00,400.00,0.00,0.00,0.00,215.38,0.00,400.00,0.00,0.00
15.38,0.00,0.00,0.00,246.15,0.00,0.00,0.00,123.08,0.00,61.54,30.77,0.00,419.23,19.23,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,646.15,0.00,0.00,0.00,523.08,0.00,61.54,1000.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,215.38,400.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,246.15,400.00,0.00,0.00,123.08,400.00,630.77,430.77,0.00,19.23,0.00,0.00,0.00,0.00,0.00,215.38,400.00
0.00,400.00,0.00,0.00,0.00,0.00,0.00,246.15,0.00,0.00,0.00,123.08,569.23,61.54,30.77,0.00,400.00,400.00,0.00,400.00,0.00,0.00,215.38
230.77,0.00,0.00,400.00,0.00,0.00,0.00,0.00,246.15,0.00,0.00,0.00,123.08,0.00,61.54,430.77,0.00,19.23,419.23,0.00,419.23,0.00,0.00
0.00,215.38,0.00,0.00,0.00,400.00,0.00,0.00,0.00,246.15,0.00,0.00,0.00,123.08,0.00,461.54,600.00,0.00,400.00,0.00,0.00,400.00,0.00
0.00,0.00,215.38,0.00,0.00,0.00,0.00,400.00,0.00,0.00,246.15,0.00,0.00,0.00,123.08,0.00,1030.77,430.77,0.00,19.23,0.00,0.00,400.00
0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,400.00,0.00,246.15,0.00,0.00,0.00,523.08,569.23,61.54,30.77,0.00,400.00,400.00,0.00
0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,400.00,246.15,0.00,0.00,0.00,1092.31,0.00,61.54,430.77,0.00,19.23,419.23
0.00,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,646.15,0.00,0.00,0.00,523.08,0.00,461.54,600.00,0.00,400.00
0.00,0.00,0.00,0.00,0.00,0.00,215.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,646.15,0.00,0.00,0.00,523.08,0.00,1030.77,430.77,0.00
