0.00,605.56,116.67,0.00,27.78,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00,0.00,0.00,177.78,0.00,116.67,44.44
644.44,0.00,0.00,666.67,577.78,0.00,577.78,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00,0.00,0.00,177.78,0.00,88.89
111.11,44.44,0.00,605.56,88.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00,0.00,0.00,177.78,0.00
22.22,666.67,622.22,0.00,0.00,666.67,0.00,577.78,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00,0.00,0.00,177.78
200.00,577.78,88.89,44.44,0.00,605.56,116.67,0.00,577.78,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00,0.00,0.00
0.00,177.78,0.00,666.67,1444.44,0.00,0.00,88.89,0.00,577.78,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00,0.00
0.00,577.78,177.78,0.00,911.11,44.44,0.00,605.56,666.67,0.00,0.00,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56,0.00
0.00,0.00,0.00,755.56,822.22,88.89,622.22,0.00,0.00,666.67,0.00,0.00,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.56
377.78,0.00,0.00,0.00,755.56,0.00,666.67,44.44,0.00,605.56,116.67,0.00,27.78,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,355.56,0.00,0.00,0.00,755.56,0.00,666.67,1444.44,0.00,0.00,88.89,0.00,0.00,0.00,0.00,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00,0.00
0.00,577.78,355.56,0.00,0.00,0.00,177.78,0.00,911.11,44.44,0.00,605.56,666.67,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,933.33,0.00,0.00,0.00,177.78,822.22,88.89,622.22,0.00,0.00,666.67,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00,0.00
22.22,0.00,0.00,0.00,933.33,0.00,0.00,0.00,177.78,0.00,666.67,44.44,0.00,605.56,116.67,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,933.33,0.00,0.00,0.00,177.78,0.00,666.67,1444.44,0.00,0.00,88.89,0.00,577.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,933.33,0.00,0.00,0.00,755.56,0.00,911.11,44.44,0.00,605.56,666.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,933.33,0.00,0.00,0.00,755.56,822.22,88.89,622.22,0.00,0.00,666.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.78,0.00,711.11
