0.00,32074111.84,111.84,0.00,111.84,0.00,0.00,0.00,19422827.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.05,0.00,0.00,0.00,42.11,0.00,21.05,10.53
32075005.26,0.00,32073684.21,315.79,0.00,315.79,0.00,0.00,0.00,20242084.21,0.00,0.00,0.00,0.00,0.00,0.00,315.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.79,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21,0.00,0.00,0.00,42.11,0.00,21.05
26.32,32074684.21,0.00,32074111.84,0.00,0.00,0.00,0.00,0.00,0.00,20241768.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21,0.00,0.00,0.00,42.11,0.00
5.26,336.84,32075000.00,0.00,32073684.21,0.00,0.00,315.79,0.00,0.00,0.00,20242084.21,0.00,0.00,0.00,0.00,0.00,315.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.79,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21,0.00,0.00,0.00,42.11
47.37,0.00,21.05,32074684.21,0.00,32074111.84,111.84,0.00,0.00,0.00,0.00,0.00,20241768.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21,0.00,0.00,0.00
0.00,357.89,0.00,21.05,32075005.26,0.00,32073684.21,315.79,0.00,0.00,0.00,0.00,0.00,20242084.21,0.00,0.00,0.00,0.00,315.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.79,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21,0.00,0.00
0.00,0.00,42.11,0.00,26.32,32074684.21,0.00,32074111.84,0.00,0.00,0.00,0.00,0.00,0.00,20241768.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21,0.00
0.00,0.00,0.00,357.89,5.26,336.84,32075000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19423031.58,0.00,0.00,0.00,315.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.79,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.21
19423563.16,0.00,0.00,0.00,42.11,0.00,21.05,10.53,0.00,32893164.47,111.84,0.00,111.84,0.00,0.00,0.00,19422715.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,20242252.63,0.00,0.00,0.00,42.11,0.00,21.05,32893384.21,0.00,32892736.84,315.79,0.00,315.79,0.00,0.00,0.00,20241768.42,0.00,0.00,315.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.79,0.00,0.00,0.00,0.00,168.42,0.00,0.00,0.00,0.00,0.00,0.00
