0.00,29773546.43,60.71,0.00,21532140.71,0.00,0.00,0.00,83.57,0.00,11.43,5.71
29774134.29,0.00,29773314.29,171.43,0.00,21976880.00,0.00,0.00,171.43,22.86,0.00,11.43
14.29,29773960.00,0.00,29773546.43,0.00,0.00,21976708.57,0.00,0.00,0.00,22.86,0.00
2.86,182.86,29774131.43,0.00,0.00,0.00,0.00,21532251.43,0.00,171.43,0.00,22.86
21532631.43,0.00,11.43,5.71,0.00,28844632.14,60.71,0.00,21532080.00,0.00,0.00,0.00
0.00,21977062.86,0.00,11.43,28844842.86,0.00,28844400.00,171.43,0.00,21976708.57,171.43,0.00
0.00,0.00,21976891.43,0.00,14.29,28844668.57,0.00,28844632.14,0.00,0.00,21976708.57,0.00
0.00,0.00,0.00,21532800.00,2.86,182.86,28844840.00,0.00,0.00,0.00,0.00,21532251.43
25.71,171.43,0.00,0.00,21532628.57,0.00,11.43,5.71,0.00,28400003.57,232.14,0.00
0.00,22.86,0.00,171.43,0.00,21976891.43,0.00,11.43,28400580.00,0.00,28399771.43,171.43
0.00,0.00,22.86,0.00,0.00,171.43,21976891.43,0.00,185.71,28400405.71,0.00,28400003.57
0.00,0.00,0.00,22.86,0.00,0.00,0.00,21532800.00,2.86,182.86,28400577.14,0.00
