0.00,78666425.00,80395425.00,0.00,82211825.00,0.00,0.00,0.00,28625.00,0.00,0.00,0.00,82184000.00,0.00,0.00,0.00
78665300.00,0.00,0.00,80394000.00,0.00,82210400.00,0.00,0.00,0.00,27200.00,0.00,0.00,0.00,82184000.00,0.00,0.00
80394300.00,0.00,0.00,78666425.00,0.00,0.00,82210400.00,0.00,0.00,0.00,27200.00,0.00,0.00,0.00,82184000.00,0.00
300.00,80394000.00,78665000.00,0.00,0.00,0.00,0.00,82210400.00,0.00,0.00,0.00,27200.00,0.00,0.00,0.00,82184000.00
82226700.00,0.00,0.00,0.00,0.00,78670425.00,80407425.00,0.00,82216000.00,0.00,0.00,0.00,63200.00,0.00,0.00,0.00
0.00,82226400.00,0.00,0.00,78669300.00,0.00,0.00,80406000.00,0.00,82216000.00,0.00,0.00,0.00,63200.00,0.00,0.00
0.00,0.00,82226400.00,0.00,80406300.00,0.00,0.00,78670425.00,0.00,0.00,82216000.00,0.00,0.00,0.00,63200.00,0.00
0.00,0.00,0.00,82226400.00,300.00,80406000.00,78669000.00,0.00,0.00,0.00,0.00,82216000.00,0.00,0.00,0.00,63200.00
27500.00,0.00,0.00,0.00,82184000.00,0.00,0.00,0.00,0.00,78666425.00,80395425.00,0.00,82211825.00,0.00,0.00,0.00
0.00,27200.00,0.00,0.00,0.00,82184000.00,0.00,0.00,78665300.00,0.00,0.00,80394000.00,0.00,82210400.00,0.00,0.00
0.00,0.00,27200.00,0.00,0.00,0.00,82184000.00,0.00,80394300.00,0.00,0.00,78666425.00,0.00,0.00,82210400.00,0.00
0.00,0.00,0.00,27200.00,0.00,0.00,0.00,82184000.00,300.00,80394000.00,78665000.00,0.00,0.00,0.00,0.00,82210400.00
82216300.00,0.00,0.00,0.00,63200.00,0.00,0.00,0.00,82226400.00,0.00,0.00,0.00,0.00,78670425.00,80407425.00,0.00
0.00,82216000.00,0.00,0.00,0.00,63200.00,0.00,0.00,0.00,82226400.00,0.00,0.00,78669300.00,0.00,0.00,80406000.00
0.00,0.00,82216000.00,0.00,0.00,0.00,63200.00,0.00,0.00,0.00,82226400.00,0.00,80406300.00,0.00,0.00,78670425.00
0.00,0.00,0.00,82216000.00,0.00,0.00,0.00,63200.00,0.00,0.00,0.00,82226400.00,300.00,80406000.00,78669000.00,0.00
