0.00,34448731.40,70.25,0.00,70.25,20145454.55,0.00,46.28,70.25,0.00,0.00,26.45,0.00,13.22,6.61
34449411.57,0.00,34448462.81,198.35,0.00,198.35,20659900.83,0.00,46.28,198.35,0.00,0.00,26.45,0.00,13.22
16.53,34449209.92,0.00,34448731.40,0.00,0.00,0.00,20659900.83,0.00,46.28,0.00,0.00,0.00,26.45,0.00
3.31,211.57,34449408.26,0.00,34448462.81,0.00,0.00,198.35,20659900.83,0.00,46.28,198.35,0.00,0.00,26.45
29.75,0.00,13.22,34449209.92,0.00,268.60,70.25,0.00,0.00,18556231.40,0.00,46.28,0.00,0.00,0.00
20146049.59,224.79,0.00,13.22,208.26,0.00,33373685.95,198.35,0.00,0.00,20145454.55,0.00,46.28,198.35,0.00
0.00,20660072.73,26.45,0.00,16.53,33373996.69,0.00,33373954.55,0.00,0.00,0.00,20659900.83,0.00,46.28,0.00
0.00,0.00,20660072.73,224.79,3.31,211.57,33374195.04,0.00,33373685.95,0.00,0.00,0.00,20659900.83,0.00,244.63
49.59,0.00,0.00,20660072.73,26.45,0.00,13.22,33373996.69,0.00,33373954.55,70.25,0.00,70.25,20659900.83,0.00
0.00,244.63,0.00,0.00,18556813.22,26.45,0.00,13.22,33374198.35,0.00,0.00,198.35,0.00,198.35,18556231.40
0.00,0.00,46.28,0.00,0.00,20146049.59,26.45,0.00,16.53,6.61,0.00,32859508.26,0.00,0.00,0.00
0.00,0.00,0.00,244.63,0.00,0.00,20660072.73,26.45,3.31,211.57,32860171.90,0.00,32859239.67,0.00,198.35
3.31,0.00,0.00,0.00,46.28,0.00,0.00,20660072.73,26.45,0.00,13.22,32859973.55,0.00,32859508.26,70.25
0.00,0.00,0.00,0.00,0.00,244.63,0.00,0.00,20660072.73,224.79,0.00,13.22,32860175.21,0.00,32859438.02
0.00,0.00,0.00,0.00,0.00,0.00,46.28,198.35,0.00,18556813.22,26.45,198.35,16.53,32860171.90,0.00
